Verlag;V1;V2;V3;V4;V5;V6;V7;V3;V8;V6;V9;V10;V6;V3;V11;V12;V13;V14;V3;V3;V15;V15;V16;V17;V2;V6;V4;V3;V18;V3;V3;V3;V19;V3;V20;V12;V21;V3;V4;V6;V3;V2;V3;V22;V6;V3;V2;V3;V23;Anzahl Aussagen;
Notiz Projektmanagement;;;;;in Lektorat und Herstellung;in Lektorat und Herstellung;in Lektorat und Herstellung;;;in Lektorat und Herstellung;Lektorat und Herstellung - individuelle Lektoratsbetreuung (Beratung, Koordination Grafik, Unterstützung bei Formatierung, digitale Aufbereitung);Projekt- und Open-Access-Management;in Lektorat und Herstellung;;in Lektorat und Herstellung;;;Unterstützung der Herausgeber*innen bezüglich OJS, formaler Qualitätskriterien innen bei der Indexierung der Proceedings ;;;;;;;;;;;;;;;;;;;Gemeinkosten Verlagsleistungen (Projektmanagement, Vertrieb, Presse, Marketing, Rightsmanagement etc.);;;Projektmanagement (Lektorat, Herstellung) ;;Projektmanagement, Koordination, Umbruchkorrektur, Freigabe zur Publikation;;;Projektmanagement in Lektorat und Herstellung;;;;Lektorat und Herstellung;;
OA E-Book Basisaufwände;;;;;;;;2.700,00 €;;;;;;2.700,00 €;;;;;2.700,00 €;2.700,00 €;;;;;1.538,00 €;;;2.700,00 €;;2.600,00 €;2.800,00 €;2.500,00 €;;2.600,00 €;2.700,00 €;;;2.600,00 €;1.175,00 €;2.000,00 €;2.700,00 €;;2.700,00 €;;;2.700,00 €;200,00 €;2.600,00 €;936,00 €;10;
Notiz OA E-Book Basisaufwände;;;;;;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;;;Fehlbetrag, Zuschuss an Verlag, darin enthalten OA-Zuschuss;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Open Access Zuschlag;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;PDF-Erstellung, Metadaten-Handling, Upload auf Repositorien;Digitale Aufbereitung, Verbreitung und OA- Vertriebsstrukturen;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;E-Book auf PDF-Basis;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Datenaufbereitung, DOI, Langzeitarchivierung;;
Druckkosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Druck;;1.260,50 €;;;;;;;1.042,80 €;;;;;;;2.939,00 €;;;;;;;;;1.401,00 €;;;;;;;;983,00 €;;1.101,77 €;;;;;;;2.494,57 €;;4.800,00 €;;;1.003,00 €;;;5;
Notiz Druck;;Print-Auflage 150 Ex, Preis 10 EUR pro Stück (brutto);;;;;;;Druck UK + US;;;;;;;;;;;;;;;;;;;;;;;;Duck, Papier, Bindung, Abbildungen ;;Druck, Papier, Einband, Bindung;;;;;;;Druck, Bindung, Rüstkosten Druckerei+ 30 zusätzliche Druckexemplare zum Verlags-Sonderpreis;;Production & Design;;;Druck, Bindung, Rüstkosten Druckerei;;;;
Sonstiges;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sonstiges;;;;;;;;;;;;;;;;38,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;2.138,43 €;;;;;;;;1;
Langzeitarchivierung;;;;;126,05 €;;;;;;;;;;;;;13,00 €;;;;;;1.450,00 €;;;;;;;;;1.000,00 €;;;;1.600,00 €;;;;;;;;;;;;;3;
Notiz Langzeitarchivierung;;;;;;;;;;;;;;;;;;über Portico und Abgabe bei DNB;;;;;;Aufbereitung des PDF für den Upload auf alle relevanten Repositorien (Langzeitarchivierungs-konform), Pflichtablieferung an DNB: 50 EUR;;;;;;;;;Archivierung/Verbreitung;;;;Digitale Leistungen (Repositorien-Management, Metadatenpflege, Langzeitarchivierung, Serverbetrieb, DOI-Vergabe etc.) ;;;;;;;;;;;;;;
Bereitstellung von Nutzungsstatistiken;;;;;;;;;;;;;;;;;;;;;;;;100,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Externe Dienstleistungen (Grafik, externe Gutachten);;;;;;;;;;;135,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Weitere Parameter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lizenz;;CC BY-NC-ND 4.0;CC BY 4.0;CC BY 4.0;;CC BY-NC-ND 4.0;CC BY-NC-ND 4.0;CC BY-SA 4.0;CC BY-NC 4.0;CC BY 4.0;CC BY 4.0;CC BY 4.0;CC BY-NC-ND 4.0;CC BY-NC-ND 4.0;CC BY-SA 4.0;CC BY-NC-ND 4.0;CC BY-ND 4.0;CC BY 4.0;CC BY 4.0;CC BY-SA 4.0;CC BY 4.0;CC BY 4.0;CC BY-NC-ND 4.0;CC BY-NC-ND 4.0;CC BY-SA 4.0;;CC BY-SA 4.0;CC BY 4.0;CC BY-NC-ND 4.0;;CC BY 4.0;;;CC (Variante offen);CC BY 4.0 ;CC BY-NC-ND;CC-BY-SA 4.0;CC BY 4.0;CC BY 4.0;CC BY oder NC-ND;CC BY-NC-ND;CC BY-SA 4.0 International;CC BY;CC BY-NC-ND;CC BY ;CC BY-NC-ND 4.0;CC BY-SA 4.0;CC BY 4.0;CC BY NC-SA 4.0;;
Seitenumfang;;375;334;287;;700;;240;296;800;230;150;847;360;250;606;308;;307;330;300;350;365;376;500-520;;272;315;100;250;270;;ca. 321 ;180;490;350;250;300;540;400;350;300;290;250;300;220;304;254;250;;
